report,category,terminal,gate,metric,time_slot,sample_n,mmss,seconds
2차,신분확인,T1,4번출국장,평균,09시~10시,1303,0:14:18,858
2차,신분확인,T1,4번출국장,평균,10시~11시,1092,0:10:21,621
2차,신분확인,T1,4번출국장,평균,13시~14시,1302,0:15:44,944
2차,신분확인,T1,4번출국장,평균,14시~15시,1196,0:12:12,732
2차,신분확인,T1,4번출국장,평균,15시~16시,1204,0:01:46,106
2차,신분확인,T1,4번출국장,평균,16시~17시,1204,0:01:01,61
2차,신분확인,T1,4번출국장,평균,17시~18시,1058,0:01:09,69
2차,신분확인,T1,5번출국장,평균,전체,12256,0:05:31,331
2차,신분확인,T1,5번출국장,평균,06시~07시,1231,0:05:03,303
2차,신분확인,T1,5번출국장,평균,07시~08시,1352,0:01:09,69
2차,신분확인,T1,5번출국장,평균,08시~09시,1314,0:02:39,159
2차,신분확인,T1,5번출국장,평균,09시~10시,1303,0:06:45,405
2차,신분확인,T1,5번출국장,평균,10시~11시,1092,0:15:12,912
2차,신분확인,T1,5번출국장,평균,13시~14시,1302,0:12:45,765
2차,신분확인,T1,5번출국장,평균,14시~15시,1196,0:01:49,109
2차,신분확인,T1,5번출국장,평균,15시~16시,1204,0:01:18,78
2차,신분확인,T1,5번출국장,평균,16시~17시,1204,0:01:08,68
2차,신분확인,T1,5번출국장,평균,17시~18시,1058,0:01:12,72
2차,신분확인,T2,1번출국장,평균,전체,12256,0:06:21,381
2차,신분확인,T2,1번출국장,평균,06시~07시,1231,0:17:12,1032
2차,신분확인,T2,1번출국장,평균,07시~08시,1352,0:09:07,547
2차,신분확인,T2,1번출국장,평균,08시~09시,1314,0:04:45,285
